id,first_name,last_name,date_of_birth,ethnicity,gender,status,entry_academic_period,exclusion_type,act_composite,act_math,act_english,act_reading,sat_combined,sat_math,sat_verbal,sat_reading,hs_gpa,hs_city,hs_state,hs_zip,email,entry_age,ged,english_2nd_language,first_generation
111125,Noah,Wang,2-Jul,Asian,M,FTFT,Fall 2019,15,5,5,5,,720,110,400,220,3.78,New York,New York,10001,noah@example.com,18.6,FALSE,TRUE,FALSE
111126,Isabella,Lopez,3-Jan,Hispanic,F,FTFT,Fall 2021,,,,,,,,,,3.12,Miami,Florida,33101,isabella@example.com,18.2,FALSE,FALSE,FALSE
111127,Liam,Jones,2-Oct,White,M,TRANSFER,Fall 2020,,,,,,,,,,3.94,Los Angeles,California,90001,liam@example.com,18.7,FALSE,FALSE,TRUE
111128,Sofia,Nguyen,3-Jun,Asian,F,FTFT,Fall 2018,22,12,5,5,,,,,,3.99,San Francisco,California,94101,sofia@example.com,18.3,FALSE,FALSE,FALSE
111129,Ethan,Kim,2-Sep,Asian,M,FTFT,Fall 2019,14,6,5,4,,800,120,430,220,3.67,Chicago,Illinois,60601,ethan@example.com,18.9,FALSE,TRUE,"FALSE																	"
111120,Alice,Johnson,3-Mar,Black,F,FT,Fall 2010,,25,18,26,27,,,,,3.52,Chicago,Illinois,60601,alice@example.com,18.7,FALSE,TRUE,FALSE
111121,David,Smith,2-Dec,White,M,FTFT,Fall 2009,13,21,20,24,,1060,460,600,380,3.89,New York,New York,10001,david@example.com,19.1,FALSE,FALSE,TRUE
111122,Emily,Davis,1-Jul,Hispanic,F,TRANSFER,Fall 2011,,22,17,23,,1010,430,580,350,3.78,Los Angeles,California,90001,emily@example.com,18.4,TRUE,FALSE,FALSE
111123,Michael,Brown,2-Feb,Asian,M,FTFT,Fall 2009,11,19,22,25,,,,,,3.95,San Francisco,California,94101,michael@example.com,18.8,FALSE,FALSE,TRUE
111124,Sophia,Chen,Oct-00,Asian,F,FT,Fall 2008,,27,23,26,28,,,,,3.67,San Francisco,California,94102,sophia@example.com,17.9,FALSE,TRUE,FALSE
111125,James,Kim,3-May,White,M,TRANSFER,Fall 2012,,24,19,25,,,,,,3.76,Seattle,Washington,98101,james@example.com,18.2,FALSE,FALSE,TRUE
111126,Olivia,Lopez,1-Apr,Hispanic,F,FTFT,Fall 2010,15,20,19,23,,1100,480,620,380,3.44,Chicago,Illinois,60602,olivia@example.com,18.9,FALSE,TRUE,FALSE
111127,William,Nguyen,2-Nov,Asian,M,TRANSFER,Fall 2011,,28,25,27,,,,,,3.58,Los Angeles,California,90002,william@example.com,19.3,FALSE,FALSE,FALSE
111128,Emma,Martinez,1-Dec,Hispanic,F,FTFT,Fall 2010,12,18,21,22,,1050,450,600,350,3.61,New York,New York,10002,emma@example.com,18.3,FALSE,FALSE,TRUE
111129,Liam,Sanchez,2-Jun,Hispanic,M,FT,Fall 2009,,26,22,25,26,,,,,3.72,San Francisco,California,94103,liam@example.com,19,TRUE,FALSE,FALSE
111130,Charlotte,Wang,Aug-00,Asian,F,TRANSFER,Fall 2011,,24,19,23,,,,,,3.91,Los Angeles,California,90003,charlotte@example.com,17.6,FALSE,FALSE,FALSE
111131,Benjamin,Adams,1-Oct,White,M,FTFT,Fall 2010,14,21,20,24,,1050,450,600,350,3.86,Chicago,Illinois,60603,benjamin@example.com,18.5,FALSE,FALSE,TRUE
111132,Ava,Miller,3-May,White,F,FT,Fall 2008,,27,24,26,28,,,,,3.73,New York,New York,10003,ava@example.com,17.9,FALSE,TRUE,FALSE
111133,Mason,Hernandez,2-Feb,Hispanic,M,TRANSFER,Fall 2012,,22,17,24,,,,,,3.68,San Francisco,California,94104,mason@example.com,18.7,FALSE,FALSE,FALSE
111134,Isabella,Taylor,1-Jul,White,F,FTFT,Fall 2011,13,20,19,23,,1100,480,620,380,3.55,Los Angeles,California,90004,isabella@example.com,18.2,FALSE,TRUE,FALSE
111135,Ethan,Robinson,Dec-00,Black,M,FT,Fall 2009,,26,22,25,26,,,,,3.64,Chicago,Illinois,60604,ethan@example.com,18.9,TRUE,FALSE,FALSE
111136,Mia,White,2-Oct,White,F,TRANSFER,Fall 2010,,25,20,24,,,,,,3.47,New York,New York,10004,mia@example.com,18.3,FALSE,FALSE,TRUE
111137,Lucas,Turner,1-May,White,M,FTFT,Fall 2008,12,19,22,21,,1070,470,590,350,3.81,San Francisco,California,94105,lucas@example.com,17.7,FALSE,FALSE,FALSE
111138,Harper,Scott,3-Mar,White,F,TRANSFER,Fall 2011,,24,19,24,,,,,,3.59,Los Angeles,California,90005,harper@example.com,18.4,FALSE,TRUE,FALSE
111139,Oliver,Hall,Apr-00,White,M,FT,Fall 2009,,28,25,27,26,,,,,3.94,Chicago,Illinois,60605,oliver@example.com,18.1,FALSE,FALSE,FALSE
111140,Ella,Young,2-Nov,White,F,TRANSFER,Fall 2010,,27,24,26,,,,,,3.76,New York,New York,10005,ella@example.com,19.2,TRUE,FALSE,FALSE
111141,Aiden,Allen,1-Aug,White,M,FTFT,Fall 2008,14,21,20,24,,1060,460,600,380,3.63,San Francisco,California,94106,aiden@example.com,17.8,FALSE,FALSE,TRUE
111142,Scarlett,Hughes,3-Feb,White,F,TRANSFER,Fall 2011,,22,17,23,,,,,,3.85,Los Angeles,California,90006,scarlett@example.com,18.5,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,
